Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time.1,Playing Time.2,Performance,Performance.1,Performance.2,Performance.3,Performance.4,Performance.5,Performance.6,Performance.7,Expected,Expected.1,Expected.2,Expected.3,Progression,Progression.1,Progression.2,Per 90 Minutes,Per 90 Minutes.1,Per 90 Minutes.2,Per 90 Minutes.3,Per 90 Minutes.4,Per 90 Minutes.5,Per 90 Minutes.6,Per 90 Minutes.7,Per 90 Minutes.8,Per 90 Minutes.9,Unnamed: 33_level_0,Season,Team_Scraping,Playing Time.3
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,
Bennit Bröger,de GER,MF,18-329,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2024-2025,Wolfsburg,
Mathys Angély,fr FRA,DF,18-035,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Wolfsburg,
Till Neininger,de GER,DF,18-053,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Wolfsburg,
Moritz Jenz,de GER,DF,26-026,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Wolfsburg,
Jan Bürger,de GER,DF,18-077,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Wolfsburg,
Jonathan Akaegbobi,de GER,FW,19-031,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Wolfsburg,
Bartosz Białek,pl POL,FW,23-196,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Wolfsburg,
Pavao Pervan,at AUT,GK,37-194,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Wolfsburg,
Nicolas Cozza,fr FRA,DF,26-138,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2024-2025,Wolfsburg,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,
David Soria,es ESP,GK,26,42,42,3780.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Getafe,
Djené,tg TOG,DF,27,41,41,3690.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,0.3,0.6,23.0,113.0,9.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,2019-2020,Getafe,
Marc Cucurella,es ESP,"MF,DF",21,45,41,3647.0,40.5,1.0,5.0,6.0,1.0,0.0,0.0,10.0,0.0,2.6,2.6,5.2,7.7,79.0,174.0,226.0,0.02,0.12,0.15,0.02,0.15,0.06,0.13,0.19,0.06,0.19,Matches,2019-2020,Getafe,
Mauro Arambarri,uy URU,MF,23,41,39,3509.0,39.0,1.0,1.0,2.0,1.0,0.0,0.0,12.0,1.0,2.2,2.2,2.2,4.4,32.0,126.0,43.0,0.03,0.03,0.05,0.03,0.05,0.06,0.06,0.11,0.06,0.11,Matches,2019-2020,Getafe,
Nemanja Maksimović,rs SRB,MF,24,42,39,3407.0,37.9,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,4.2,4.2,0.8,5.1,22.0,77.0,39.0,0.05,0.0,0.05,0.05,0.05,0.11,0.02,0.13,0.11,0.13,Matches,2019-2020,Getafe,
Jaime Mata,es ESP,FW,30,41,39,3250.0,36.1,14.0,4.0,18.0,10.0,4.0,5.0,16.0,0.0,14.7,10.8,4.1,14.9,31.0,57.0,266.0,0.39,0.11,0.5,0.28,0.39,0.41,0.11,0.52,0.3,0.41,Matches,2019-2020,Getafe,
Allan Nyom,cm CMR,"DF,MF",31,43,39,3143.0,34.9,2.0,1.0,3.0,2.0,0.0,0.0,15.0,2.0,1.0,1.0,1.6,2.6,62.0,85.0,97.0,0.06,0.03,0.09,0.06,0.09,0.03,0.05,0.07,0.03,0.07,Matches,2019-2020,Getafe,
Damián Suárez,uy URU,DF,31,34,34,2952.0,32.8,1.0,4.0,5.0,1.0,0.0,0.0,17.0,0.0,1.0,1.0,3.2,4.2,38.0,190.0,64.0,0.03,0.12,0.15,0.03,0.15,0.03,0.1,0.13,0.03,0.13,Matches,2019-2020,Getafe,
Mathías Olivera,uy URU,DF,21,29,26,2317.0,25.7,0.0,3.0,3.0,0.0,0.0,0.0,8.0,1.0,1.1,1.1,1.3,2.4,46.0,105.0,39.0,0.0,0.12,0.12,0.0,0.12,0.04,0.05,0.09,0.04,0.09,Matches,2019-2020,Getafe,
Jorge Molina,es ESP,FW,37,40,25,2097.0,23.3,6.0,3.0,9.0,4.0,2.0,3.0,6.0,1.0,8.2,5.8,4.4,10.2,29.0,66.0,176.0,0.26,0.13,0.39,0.17,0.3,0.35,0.19,0.54,0.25,0.44,Matches,2019-2020,Getafe,
Ángel Rodríguez,es ESP,FW,32,40,13,1852.0,20.6,13.0,3.0,16.0,12.0,1.0,1.0,8.0,0.0,10.1,9.2,2.8,12.0,41.0,28.0,131.0,0.63,0.15,0.78,0.58,0.73,0.49,0.13,0.63,0.45,0.58,Matches,2019-2020,Getafe,
Leandro Cabrera,uy URU,DF,28,21,20,1787.0,19.9,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,1.9,1.9,0.4,2.3,7.0,70.0,5.0,0.15,0.0,0.15,0.15,0.15,0.1,0.02,0.12,0.1,0.12,Matches,2019-2020,Getafe,
Xabier Etxeita,es ESP,DF,31,20,19,1716.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.4,0.4,0.1,0.5,3.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches,2019-2020,Getafe,
Jason,es ESP,MF,25,24,15,1317.0,14.6,1.0,4.0,5.0,1.0,0.0,0.0,5.0,0.0,1.5,1.5,2.2,3.7,26.0,32.0,87.0,0.07,0.27,0.34,0.07,0.34,0.1,0.15,0.25,0.1,0.25,Matches,2019-2020,Getafe,
David Timor,es ESP,"MF,DF",29,29,14,1297.0,14.4,3.0,1.0,4.0,3.0,0.0,0.0,6.0,1.0,1.1,1.1,0.3,1.4,4.0,65.0,7.0,0.21,0.07,0.28,0.21,0.28,0.08,0.02,0.1,0.08,0.1,Matches,2019-2020,Getafe,
Kenedy,br BRA,MF,23,27,7,962.0,10.7,3.0,5.0,8.0,3.0,0.0,0.0,4.0,0.0,1.4,1.4,2.6,4.0,32.0,22.0,77.0,0.28,0.47,0.75,0.28,0.75,0.13,0.25,0.38,0.13,0.38,Matches,2019-2020,Getafe,
Fayçal Fajr,ma MAR,MF,30,15,10,841.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,1.5,2.2,5.0,39.0,16.0,0.0,0.0,0.0,0.0,0.0,0.08,0.16,0.24,0.08,0.24,Matches,2019-2020,Getafe,
Francisco Portillo,es ESP,MF,29,22,8,776.0,8.6,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,3.1,3.3,6.0,48.0,29.0,0.0,0.23,0.23,0.0,0.23,0.02,0.36,0.38,0.02,0.38,Matches,2019-2020,Getafe,
Raúl García,es ESP,DF,30,8,7,603.0,6.7,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.7,1.7,15.0,25.0,19.0,0.0,0.3,0.3,0.0,0.3,0.01,0.25,0.26,0.01,0.26,Matches,2019-2020,Getafe,
Oghenekaro Etebo,ng NGA,MF,23,10,6,572.0,6.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,0.6,1.4,10.0,20.0,24.0,0.16,0.0,0.16,0.16,0.16,0.11,0.1,0.21,0.11,0.21,Matches,2019-2020,Getafe,
Bruno González,es ESP,DF,29,7,7,553.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Getafe,
Leandro Chichizola,ar ARG,GK,29,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Getafe,
Hugo Duro,es ESP,"FW,MF",19,14,5,447.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,0.2,1.2,8.0,5.0,27.0,0.2,0.2,0.4,0.2,0.4,0.19,0.05,0.23,0.19,0.23,Matches,2019-2020,Getafe,
Enric Gallego,es ESP,FW,32,8,5,411.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.4,1.5,1.0,10.0,26.0,0.0,0.0,0.0,0.0,0.0,0.23,0.09,0.32,0.23,0.32,Matches,2019-2020,Getafe,
Deyverson,br BRA,FW,28,7,5,329.0,3.7,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.3,1.3,0.4,1.8,3.0,17.0,16.0,0.27,0.27,0.55,0.27,0.55,0.37,0.12,0.49,0.37,0.49,Matches,2019-2020,Getafe,
Chema,es ESP,DF,27,4,3,309.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.0,0.2,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,2019-2020,Getafe,
Erick Cabaco,uy URU,DF,24,4,3,267.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,2019-2020,Getafe,
Markel Bergara,es ESP,MF,33,2,0,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,2019-2020,Getafe,
Amath,sn SEN,MF,23,7,0,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Getafe,
Vitorino Antunes,pt POR,MF,32,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Getafe,
Florent Poulolo,mq MTQ,DF,22,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2019-2020,Getafe,
Marcos Lavín,es ESP,GK,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2019-2020,Getafe,
Jean Paul Garcia,co COL,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2019-2020,Getafe,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,
Manuel Neuer,de GER,GK,34,44,44,4020.0,44.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,0.3,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,2020-2021,Bayern Munich,
Thomas Müller,de GER,"MF,FW",30,45,43,3694.0,41.0,15.0,22.0,37.0,12.0,3.0,3.0,2.0,0.0,10.6,9.0,12.5,21.5,67.0,187.0,408.0,0.37,0.54,0.9,0.29,0.83,0.29,0.34,0.63,0.25,0.59,Matches,2020-2021,Bayern Munich,
David Alaba,at AUT,"DF,MF",28,43,40,3612.0,40.1,2.0,6.0,8.0,2.0,0.0,0.0,7.0,0.0,1.9,1.9,2.8,4.7,68.0,309.0,84.0,0.05,0.15,0.2,0.05,0.2,0.05,0.07,0.12,0.05,0.12,Matches,2020-2021,Bayern Munich,
Robert Lewandowski,pl POL,FW,31,38,36,3219.0,35.8,46.0,8.0,54.0,36.0,10.0,11.0,4.0,0.0,35.9,27.2,5.2,32.4,64.0,76.0,227.0,1.29,0.22,1.51,1.01,1.23,1.09,0.16,1.24,0.82,0.98,Matches,2020-2021,Bayern Munich,
Joshua Kimmich,de GER,MF,25,37,35,3140.0,34.9,6.0,14.0,20.0,6.0,0.0,0.0,6.0,0.0,3.5,3.5,10.4,13.9,68.0,367.0,82.0,0.17,0.4,0.57,0.17,0.57,0.11,0.33,0.45,0.11,0.45,Matches,2020-2021,Bayern Munich,
Jérôme Boateng,de GER,DF,31,38,36,2989.0,33.2,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,0.4,0.4,0.8,1.2,10.0,220.0,9.0,0.06,0.03,0.09,0.06,0.09,0.01,0.02,0.04,0.01,0.04,Matches,2020-2021,Bayern Munich,
Benjamin Pavard,fr FRA,DF,24,34,31,2740.0,30.4,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.8,0.8,2.2,3.0,61.0,200.0,202.0,0.0,0.07,0.07,0.0,0.07,0.03,0.08,0.11,0.03,0.11,Matches,2020-2021,Bayern Munich,
Lucas Hernández,fr FRA,DF,24,36,28,2601.0,28.9,1.0,2.0,3.0,1.0,0.0,0.0,8.0,0.0,1.1,1.1,1.9,3.0,65.0,139.0,112.0,0.03,0.07,0.1,0.03,0.1,0.04,0.08,0.12,0.04,0.12,Matches,2020-2021,Bayern Munich,
Leroy Sané,de GER,"FW,MF",24,42,26,2525.0,28.1,10.0,9.0,19.0,10.0,0.0,0.0,3.0,0.0,7.5,7.5,7.9,15.4,106.0,109.0,305.0,0.36,0.32,0.68,0.36,0.68,0.28,0.3,0.58,0.28,0.58,Matches,2020-2021,Bayern Munich,
Niklas Süle,de GER,DF,24,31,26,2416.0,26.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.6,1.6,0.4,2.0,55.0,167.0,32.0,0.07,0.0,0.07,0.07,0.07,0.07,0.02,0.09,0.07,0.09,Matches,2020-2021,Bayern Munich,
Alphonso Davies,ca CAN,DF,19,33,28,2406.0,26.7,1.0,3.0,4.0,1.0,0.0,0.0,2.0,1.0,0.2,0.2,2.2,2.5,105.0,160.0,153.0,0.04,0.11,0.15,0.04,0.15,0.01,0.1,0.11,0.01,0.11,Matches,2020-2021,Bayern Munich,
Kingsley Coman,fr FRA,FW,24,37,31,2349.0,26.1,8.0,13.0,21.0,8.0,0.0,0.0,2.0,0.0,6.7,6.7,7.9,14.6,138.0,94.0,369.0,0.31,0.5,0.8,0.31,0.8,0.26,0.31,0.57,0.26,0.57,Matches,2020-2021,Bayern Munich,
Serge Gnabry,de GER,"FW,MF",25,36,25,2250.0,25.0,11.0,3.0,14.0,11.0,0.0,0.0,5.0,0.0,9.6,9.6,7.8,17.3,92.0,111.0,251.0,0.44,0.12,0.56,0.44,0.56,0.43,0.35,0.78,0.43,0.78,Matches,2020-2021,Bayern Munich,
Leon Goretzka,de GER,MF,25,32,26,2237.0,24.9,8.0,7.0,15.0,8.0,0.0,0.0,3.0,0.0,4.9,4.9,3.5,8.4,58.0,165.0,47.0,0.32,0.28,0.6,0.32,0.6,0.21,0.15,0.35,0.21,0.35,Matches,2020-2021,Bayern Munich,
Jamal Musiala,de GER,MF,17,35,11,1286.0,14.3,7.0,1.0,8.0,7.0,0.0,0.0,0.0,0.0,3.0,3.0,0.7,3.7,36.0,48.0,75.0,0.49,0.07,0.56,0.49,0.56,0.24,0.06,0.3,0.24,0.3,Matches,2020-2021,Bayern Munich,
Corentin Tolisso,fr FRA,MF,25,22,12,1279.0,14.2,3.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,2.9,2.9,0.6,3.5,18.0,92.0,37.0,0.21,0.0,0.21,0.21,0.21,0.25,0.06,0.31,0.25,0.31,Matches,2020-2021,Bayern Munich,
Eric Maxim Choupo-Moting,cm CMR,FW,31,30,13,1279.0,14.2,9.0,0.0,9.0,9.0,0.0,0.0,3.0,0.0,7.5,7.5,1.7,9.2,14.0,22.0,85.0,0.63,0.0,0.63,0.63,0.63,0.56,0.13,0.69,0.56,0.69,Matches,2020-2021,Bayern Munich,
Javi Martínez,es ESP,MF,31,30,7,852.0,9.5,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6,1.1,9.0,41.0,8.0,0.11,0.21,0.32,0.11,0.32,0.07,0.08,0.15,0.07,0.15,Matches,2020-2021,Bayern Munich,
Bouna Sarr,sn SEN,DF,28,15,9,814.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.3,0.4,28.0,54.0,55.0,0.0,0.22,0.22,0.0,0.22,0.02,0.04,0.06,0.02,0.06,Matches,2020-2021,Bayern Munich,
Douglas Costa,br BRA,"FW,MF",29,19,6,657.0,7.3,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,1.2,28.0,24.0,69.0,0.14,0.27,0.41,0.14,0.41,0.05,0.15,0.2,0.05,0.2,Matches,2020-2021,Bayern Munich,
Marc Roca,es ESP,MF,23,10,5,453.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.0,0.3,2.0,44.0,4.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.07,0.07,0.07,Matches,2020-2021,Bayern Munich,
Alexander Nübel,de GER,GK,23,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Bayern Munich,
Chris Richards,us USA,DF,20,7,2,233.0,2.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,9.0,20.0,0.0,0.39,0.39,0.0,0.39,0.0,0.19,0.19,0.0,0.19,Matches,2020-2021,Bayern Munich,
Tanguy Nianzou,fr FRA,DF,18,6,0,118.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Bayern Munich,
Joshua Zirkzee,nl NED,FW,19,5,1,105.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.21,0.08,0.3,0.21,0.3,Matches,2020-2021,Bayern Munich,
Josip Stanišić,hr CRO,DF,20,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches,2020-2021,Bayern Munich,
Tiago Dantas,pt POR,MF,19,2,1,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches,2020-2021,Bayern Munich,
Angelo Stiller,de GER,"MF,FW",19,3,0,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Bayern Munich,
Bright Arrey-Mbi,de GER,DF,17,1,1,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Bayern Munich,
Christopher Scott,de GER,"MF,FW",18,2,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,2020-2021,Bayern Munich,
Leon Dajaku,de GER,"FW,MF",19,1,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2020-2021,Bayern Munich,
Armindo Sieb,de GER,FW,17,1,0,26.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2020-2021,Bayern Munich,
Mickaël Cuisance,fr FRA,FW,20,1,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2020-2021,Bayern Munich,
Jann-Fiete Arp,de GER,FW,20,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2020-2021,Bayern Munich,
Daniels Ontuzans,lv LVA,MF,20,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,2020-2021,Bayern Munich,
Sven Ulreich,de GER,GK,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,Bayern Munich,
Dimitri Oberlin,ch SUI,"FW,MF",22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,Bayern Munich,
Adrian Fein,de GER,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,Bayern Munich,
Ron-Thorben Hoffmann,de GER,GK,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,Bayern Munich,
Maximilian Zaiser,de GER,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,Bayern Munich,
Rémy Vita,km COM,"DF,MF",19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,Bayern Munich,
Malik Tillman,us USA,"FW,MF",18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,Bayern Munich,
Kilian Senkbeil,de GER,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,Bayern Munich,
Alexander Lungwitz,de GER,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,Bayern Munich,
Lukas Schneller,de GER,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,2020-2021,Bayern Munich,
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,,
Maximilian Arnold,de GER,MF,24,36,36,3142.0,34.9,2.0,6.0,8.0,2.0,0.0,0.0,9.0,0.0,2.7,2.7,4.3,7.0,41.0,141.0,83.0,0.06,0.17,0.23,0.06,0.23,0.09,0.13,0.22,0.09,0.22,Matches,2018-2019,Wolfsburg,
Wout Weghorst,nl NED,FW,25,36,35,3105.0,34.5,18.0,7.0,25.0,14.0,4.0,4.0,4.0,0.0,14.3,11.3,4.9,16.2,26.0,55.0,154.0,0.52,0.2,0.72,0.41,0.61,0.44,0.15,0.59,0.35,0.5,Matches,2018-2019,Wolfsburg,
Robin Knoche,de GER,DF,26,34,33,2974.0,33.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.8,1.8,0.1,1.8,28.0,129.0,7.0,0.09,0.0,0.09,0.09,0.09,0.06,0.0,0.06,0.06,0.06,Matches,2018-2019,Wolfsburg,
John Brooks,us USA,DF,25,32,32,2880.0,32.0,3.0,2.0,5.0,3.0,0.0,0.0,8.0,0.0,2.6,2.6,0.8,3.4,27.0,135.0,3.0,0.09,0.06,0.16,0.09,0.16,0.09,0.03,0.12,0.09,0.12,Matches,2018-2019,Wolfsburg,
William,br BRA,DF,23,33,32,2855.0,31.7,2.0,1.0,3.0,2.0,0.0,0.0,11.0,0.0,1.4,1.4,2.6,4.0,62.0,132.0,144.0,0.06,0.03,0.09,0.06,0.09,0.05,0.09,0.14,0.05,0.14,Matches,2018-2019,Wolfsburg,
Jérôme Roussillon,fr FRA,DF,25,31,31,2731.0,30.3,3.0,4.0,7.0,3.0,0.0,0.0,4.0,0.0,1.7,1.7,2.5,4.2,92.0,113.0,123.0,0.1,0.13,0.23,0.1,0.23,0.06,0.09,0.15,0.06,0.15,Matches,2018-2019,Wolfsburg,
Yannick Gerhardt,de GER,MF,24,33,31,2700.0,30.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,3.5,3.5,3.1,6.6,74.0,95.0,155.0,0.07,0.07,0.13,0.07,0.13,0.13,0.11,0.24,0.13,0.24,Matches,2018-2019,Wolfsburg,
Koen Casteels,be BEL,GK,26,29,29,2565.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,2018-2019,Wolfsburg,
Admir Mehmedi,ch SUI,"FW,MF",27,28,21,1793.0,19.9,7.0,5.0,12.0,7.0,0.0,0.0,1.0,0.0,4.0,4.0,3.6,7.6,36.0,74.0,176.0,0.35,0.25,0.6,0.35,0.6,0.21,0.19,0.41,0.21,0.41,Matches,2018-2019,Wolfsburg,
Renato Steffen,ch SUI,"FW,MF",26,34,20,1661.0,18.5,5.0,1.0,6.0,5.0,0.0,0.0,6.0,0.0,3.1,3.1,1.8,4.9,32.0,59.0,85.0,0.27,0.05,0.33,0.27,0.33,0.18,0.11,0.29,0.18,0.29,Matches,2018-2019,Wolfsburg,
Josuha Guilavogui,fr FRA,MF,27,20,19,1660.0,18.4,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,1.0,1.0,0.3,1.4,10.0,69.0,14.0,0.11,0.05,0.16,0.11,0.16,0.06,0.02,0.08,0.06,0.08,Matches,2018-2019,Wolfsburg,
Josip Brekalo,hr CRO,"FW,MF",20,27,16,1529.0,17.0,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0,2.3,2.3,1.4,3.7,72.0,78.0,111.0,0.18,0.24,0.41,0.18,0.41,0.14,0.09,0.23,0.14,0.23,Matches,2018-2019,Wolfsburg,
