MatchStatID,ClubID,OpponentClubID,SeasonID,CapitainPlayerID,DateID,MatchProfileID,Venue,GoalsFor,GoalsAgainst,Result,ExpectedGoals,ExpectedGoalsAllowed,Possession,Attendance,Formation,OpponentFormation,Referee
2177,290,196,2018/19,36203,2018-10-21,795,Away,1.0,0.0,Won,0.400000005960464,0.899999976158142,38.0,42581.0,4-4-2,3-4-3,Alberola Rojas
2178,194,196,2018/19,37054,2018-11-11,761,Home,3.0,4.0,Lost,3.79999995231628,2.29999995231628,55.0,83174.0,4-3-3,3-4-1-2,Antonio Matéu Lahoz
2179,204,196,2020/21,35881,2021-05-22,789,Home,2.0,3.0,Lost,1.29999995231628,2.29999995231628,64.0,1738.0,4-1-3-2,4-2-3-1,Jesús Gil
2180,261,196,2024/25,38046,2024-10-06,795,Home,1.0,0.0,Won,1.39999997615814,0.600000023841858,51.0,42571.0,4-2-3-1,4-2-3-1,Juan Martínez
2181,271,196,2023/24,35552,2023-10-01,794,Away,0.0,3.0,Lost,0.699999988079071,1.60000002384186,45.0,50163.0,4-2-3-1,4-2-3-1,Ricardo de Burgos
2182,190,196,2020/21,38304,2021-02-04,686,Away,1.0,1.0,Draw,-1.0,-1.0,44.0,-1.0,4-4-2,4-2-3-1,Alejandro Hernández
2183,204,196,2017/18,35874,2018-01-29,771,Home,3.0,2.0,Won,2.5,1.29999995231628,42.0,14667.0,4-4-2,4-3-3,José Sánchez
2184,323,196,2021/22,38313,2021-10-24,759,Away,2.0,3.0,Lost,1.0,1.39999997615814,54.0,45362.0,4-2-3-1,4-2-3-1,Ricardo de Burgos
2185,367,196,2024/25,36206,2025-01-11,768,Home,1.0,0.0,Won,1.20000004768372,0.699999988079071,42.0,21911.0,4-3-3,4-2-3-1,Adrián Cordero
2186,191,196,2018/19,34945,2018-10-07,794,Home,1.0,0.0,Won,0.600000023841858,0.300000011920929,37.0,63786.0,4-4-2,3-4-3,Alberto Undiano
2187,210,196,2019/20,34822,2020-06-25,782,Away,0.0,1.0,Lost,1.10000002384186,0.899999976158142,36.0,-1.0,4-4-2,3-4-3,Juan Martínez
2188,301,196,2021/22,38716,2021-09-23,792,Home,1.0,3.0,Lost,1.0,2.40000009536743,49.0,13758.0,4-3-3,4-2-3-1,Juan Martínez
2189,339,196,2022/23,36497,2023-02-18,772,Away,1.0,2.0,Lost,1.0,2.40000009536743,53.0,51396.0,4-2-3-1,4-2-3-1,Antonio Matéu
2190,342,196,2024/25,33817,2025-01-18,770,Away,3.0,1.0,Won,1.5,0.5,50.0,50021.0,4-2-3-1,4-2-3-1,Alejandro Hernández
2191,319,196,2022/23,39015,2023-01-21,767,Home,1.0,0.0,Won,2.29999995231628,0.899999976158142,31.0,20811.0,4-4-2,4-2-3-1,Pablo González
2192,323,196,2024/25,35984,2025-05-15,787,Home,2.0,2.0,Draw,1.20000004768372,1.20000004768372,53.0,13480.0,4-2-3-1,4-2-3-1,Pablo González
2193,271,196,2018/19,34734,2018-09-15,790,Home,0.0,0.0,Draw,1.0,1.0,40.0,40050.0,4-4-2,3-4-3,Alejandro Hernández
2194,194,196,2024/25,38583,2024-12-07,765,Away,2.0,2.0,Draw,1.89999997615814,3.09999990463257,62.0,51749.0,4-3-3,4-2-3-1,Alejandro Muníz
